Chỉ tiêu;Mã chỉ tiêu;Cấp;Mã số
2. Thặng dư vốn cổ phần;<ct412>;4;412
3. Quyền chọn chuyển đổi trái phiếu;<ct413>;4;413
4. Vốn khác của chủ sở hữu;<ct414>;4;414
5. Cổ phiếu quỹ (*);<ct415>;4;415
6. Chênh lệch đánh giá lại tài sản;<ct416>;4;416
7. Chênh lệch tỷ giá hối đoái;<ct417>;4;417
8. Quỹ đầu tư phát triển;<ct418>;4;418
9. Quỹ hỗ trợ sắp xếp doanh nghiệp;<ct419>;4;419
10. Quỹ khác thuộc vốn chủ sở hữu;<ct420>;4;420
11. Lợi nhuận sau thuế chưa phân phối (421 =421a + 421b);<ct421>;4;421
#NAME?;<ct421a>;5;421a
#NAME?;<ct421b>;5;421b
12. Nguồn vốn đầu tư XDCB;<ct422>;4;422
II. Nguồn kinh phí và quỹ khác (430 = 431 + 432);<ct430>;3;430
1. Nguồn kinh phí;<ct431>;4;431
2. Nguồn kinh phí đã hình thành TSCĐ;<ct432>;4;432
TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400);<ct440>;1;440
